Traded Issuer,Published,Traded,Filed After,Type,Size,,Price
Alphabet IncGOOGL:US,20 Jan2025,14 Jan2025,days3,buy,250K–500K,Goto trade detail page.,N/A
Amazon.com IncAMZN:US,20 Jan2025,14 Jan2025,days3,buy,250K–500K,Goto trade detail page.,N/A
Apple IncAAPL:US,20 Jan2025,31 Dec2024,days17,sell,5M–25M,Goto trade detail page.,N/A
NVIDIA CorporationNVDA:US,20 Jan2025,31 Dec2024,days17,sell,1M–5M,Goto trade detail page.,N/A
NVIDIA CorporationNVDA:US,20 Jan2025,20 Dec2024,days28,buy,500K–1M,Goto trade detail page.,N/A
NVIDIA CorporationNVDA:US,20 Jan2025,14 Jan2025,days3,buy,250K–500K,Goto trade detail page.,N/A
Palo Alto Networks IncPANW:US,20 Jan2025,20 Dec2024,days28,buy,1M–5M,Goto trade detail page.,N/A
TEMPUS AI INCTEM:US,20 Jan2025,14 Jan2025,days3,buy,50K–100K,Goto trade detail page.,N/A
Vistra CorpVST:US,20 Jan2025,14 Jan2025,days3,buy,500K–1M,Goto trade detail page.,N/A
REOF XXVI LLCN/A,12 Sept2024,13 Aug2024,days29,buy,250K–500K,Goto trade detail page.,N/A
Microsoft CorpMSFT:US,31 Jul2024,26 Jul2024,days4,sell,1M–5M,Goto trade detail page.,N/A
NVIDIA CorporationNVDA:US,31 Jul2024,26 Jul2024,days4,buy,1M–5M,Goto trade detail page.,N/A
Broadcom IncAVGO:US,3 Jul2024,24 Jun2024,days8,buy,1M–5M,Goto trade detail page.,N/A
NVIDIA CorporationNVDA:US,3 Jul2024,26 Jun2024,days6,buy,1M–5M,Goto trade detail page.,N/A
Tesla IncTSLA:US,3 Jul2024,24 Jun2024,days8,sell,250K–500K,Goto trade detail page.,N/A
/html/body/div[1]/main/div/main/div/div[2]/div[2]/div[2]/div/div[1]/div
